dataset,layer_id,num_tokens,min_entropy,mean_entropy,diversity_ratio,fragmentation_ratio,min_entropy_l2,mean_l2
kv_retrieval,0,8576,-0.0000,4.7812,0.5033,0.6269,179.0000,19.8750
kv_retrieval,1,8576,1.0469,4.5938,0.6401,0.6822,11.4375,9.3750
kv_retrieval,2,8576,0.0108,1.9375,0.5901,0.7522,17.7500,10.6875
kv_retrieval,3,8576,0.0135,2.2031,0.5614,0.7048,10.5000,9.6250
kv_retrieval,4,8576,0.0000,0.6055,0.6083,0.6060,20.2500,21.3750
kv_retrieval,5,8576,0.0000,0.6719,0.5642,0.7136,16.8750,19.1250
kv_retrieval,6,8576,0.0008,1.4375,0.5678,0.6604,14.2500,19.7500
kv_retrieval,7,8576,0.0001,1.0391,0.6119,0.6575,18.0000,16.2500
kv_retrieval,8,8576,0.0000,0.5898,0.5658,0.6440,22.0000,21.2500
kv_retrieval,9,8576,0.0000,0.9883,0.5968,0.6840,15.7500,15.1250
kv_retrieval,10,8576,0.0000,0.9492,0.5159,0.6977,25.2500,21.5000
kv_retrieval,11,8576,0.0004,0.7578,0.3781,0.6044,24.0000,22.0000
kv_retrieval,12,8576,0.0000,0.9453,0.5008,0.5816,23.6250,17.7500
kv_retrieval,13,8576,0.0099,1.4688,0.5435,0.6822,13.0000,15.1250
kv_retrieval,14,8576,0.0000,0.4531,0.6077,0.6556,16.0000,17.5000
kv_retrieval,15,8576,0.0002,0.7109,0.5742,0.6210,17.6250,19.0000
kv_retrieval,16,8576,0.0000,0.3066,0.5893,0.4754,17.2500,15.3750
kv_retrieval,17,8576,0.0000,0.5273,0.5675,0.5752,17.6250,16.2500
kv_retrieval,18,8576,0.0002,1.0312,0.5474,0.5474,69.5000,18.3750
kv_retrieval,19,8576,0.0003,0.8594,0.6543,0.5079,18.5000,18.7500
kv_retrieval,20,8576,0.0000,0.6523,0.5084,0.5620,15.8750,16.3750
kv_retrieval,21,8576,0.0000,0.4297,0.5717,0.5359,18.7500,16.8750
kv_retrieval,22,8576,0.0000,0.5859,0.5818,0.5703,16.0000,15.5000
kv_retrieval,23,8576,0.0000,0.6562,0.5661,0.5441,14.3125,16.2500
kv_retrieval,24,8576,0.0000,0.4648,0.4986,0.6016,17.1250,19.0000
kv_retrieval,25,8576,0.0000,0.5820,0.6423,0.6190,19.0000,17.3750
kv_retrieval,26,8576,0.0001,0.5391,0.6172,0.6542,16.3750,17.1250
kv_retrieval,27,8576,0.0000,1.0859,0.6434,0.5989,53.5000,22.7500
kv_retrieval,0,50048,1.3828,6.3750,0.6950,0.7623,180.0000,20.0000
kv_retrieval,1,50048,0.1865,5.6250,0.8066,0.9142,12.0000,9.4375
kv_retrieval,2,50048,0.0234,2.3906,0.6680,0.9361,9.0000,10.7500
kv_retrieval,3,50048,0.0032,3.0625,0.7436,0.9325,10.6875,9.8125
kv_retrieval,4,50048,0.0000,0.5703,0.7508,0.8685,18.2500,21.7500
kv_retrieval,5,50048,0.0000,0.9805,0.7148,0.9133,17.8750,19.6250
kv_retrieval,6,50048,0.0068,1.8125,0.7260,0.8782,20.2500,20.1250
kv_retrieval,7,50048,0.0014,1.3203,0.7581,0.8738,19.8750,16.7500
kv_retrieval,8,50048,0.0002,0.6406,0.6964,0.8838,22.2500,21.8750
kv_retrieval,9,50048,0.0000,1.0938,0.7327,0.9067,16.3750,15.8125
kv_retrieval,10,50048,0.0001,1.0547,0.6655,0.8776,21.6250,22.2500
kv_retrieval,11,50048,0.0000,0.9727,0.5377,0.7903,36.7500,22.6250
kv_retrieval,12,50048,0.0006,1.0547,0.6523,0.8238,24.0000,18.2500
kv_retrieval,13,50048,0.0200,1.6328,0.6568,0.8781,21.8750,15.5625
kv_retrieval,14,50048,0.0000,0.5078,0.7001,0.8529,16.8750,17.7500
kv_retrieval,15,50048,0.0000,0.8594,0.7001,0.8549,27.8750,19.3750
kv_retrieval,16,50048,0.0000,0.4238,0.6314,0.7221,17.3750,15.6250
kv_retrieval,17,50048,0.0000,0.6406,0.6780,0.7584,18.0000,16.3750
kv_retrieval,18,50048,0.0000,0.6758,0.6607,0.7821,14.8750,18.8750
kv_retrieval,19,50048,0.0000,1.0781,0.7681,0.7508,111.5000,19.1250
kv_retrieval,20,50048,0.0000,0.4590,0.5918,0.7869,16.8750,17.0000
kv_retrieval,21,50048,0.0000,0.4531,0.6819,0.7664,18.1250,17.5000
kv_retrieval,22,50048,0.0014,0.7227,0.7132,0.8142,14.5625,15.8125
kv_retrieval,23,50048,0.0000,0.5078,0.7126,0.8391,19.6250,17.0000
kv_retrieval,24,50048,0.0008,0.5078,0.6529,0.8355,19.8750,19.0000
kv_retrieval,25,50048,0.0000,1.1406,0.7740,0.8504,18.1250,18.3750
kv_retrieval,26,50048,0.0000,0.5039,0.8432,0.8948,16.8750,18.1250
kv_retrieval,27,50048,-0.0000,1.1719,0.7746,0.8429,131.0000,23.0000
kv_retrieval,0,100224,2.0781,7.0312,0.7383,0.7974,179.0000,19.8750
kv_retrieval,1,100224,1.0547,6.2188,0.8384,0.9474,12.1875,9.3750
kv_retrieval,2,100224,0.0322,2.8906,0.6973,0.9612,9.0625,10.8125
kv_retrieval,3,100224,0.0052,3.5312,0.7907,0.9548,10.6875,9.8125
kv_retrieval,4,100224,0.0000,0.4785,0.7531,0.9074,18.5000,21.8750
kv_retrieval,5,100224,0.0037,0.8516,0.7458,0.9443,28.3750,19.7500
kv_retrieval,6,100224,0.0010,1.6172,0.7550,0.9169,13.7500,20.1250
kv_retrieval,7,100224,0.0010,1.1797,0.7709,0.9128,20.0000,17.0000
kv_retrieval,8,100224,0.0011,0.7891,0.7196,0.9283,22.7500,22.0000
kv_retrieval,9,100224,0.0000,1.2109,0.7553,0.9354,15.6250,16.0000
kv_retrieval,10,100224,0.0001,1.2422,0.6853,0.9100,21.1250,22.3750
kv_retrieval,11,100224,0.0011,1.0547,0.5488,0.8444,37.0000,22.7500
kv_retrieval,12,100224,0.0073,1.3594,0.6716,0.8695,25.8750,18.3750
kv_retrieval,13,100224,0.1035,1.3672,0.6780,0.9095,22.0000,15.6875
kv_retrieval,14,100224,0.0000,0.4688,0.7430,0.8971,18.7500,17.7500
kv_retrieval,15,100224,0.0065,0.9492,0.7221,0.8953,27.8750,19.3750
kv_retrieval,16,100224,0.0000,0.3750,0.6314,0.7795,14.6875,15.5625
kv_retrieval,17,100224,0.0000,0.6445,0.7157,0.8175,14.8125,16.2500
kv_retrieval,18,100224,0.0000,0.7070,0.6881,0.8390,14.6875,18.8750
kv_retrieval,19,100224,0.0002,1.1094,0.7882,0.8021,19.0000,19.0000
kv_retrieval,20,100224,0.0000,0.4629,0.6110,0.8342,16.7500,17.0000
kv_retrieval,21,100224,0.0000,0.4805,0.7048,0.8131,18.2500,17.5000
kv_retrieval,22,100224,0.0011,0.7305,0.7266,0.8690,14.4375,15.8750
kv_retrieval,23,100224,0.0000,0.6445,0.7450,0.8798,19.6250,17.0000
kv_retrieval,24,100224,0.0007,0.5469,0.6861,0.8837,19.8750,19.0000
kv_retrieval,25,100224,0.0000,1.2578,0.8097,0.8897,18.2500,18.3750
kv_retrieval,26,100224,0.0001,0.7070,0.8733,0.9441,17.0000,18.2500
kv_retrieval,27,100224,0.0000,1.0781,0.8309,0.8721,131.0000,23.1250
