dataset,method,layer_id,num_tokens,total_retrieved,num_spans,mean_span_len,max_span_len,spread_ratio
kv_retrieval,dcu_both,0,8576,8196,368,22.27,192,0.9999
kv_retrieval,dcu_both,1,8576,6585,1377,4.78,21,0.9999
kv_retrieval,dcu_both,2,8576,3942,1942,2.03,9,0.9998
kv_retrieval,dcu_both,3,8576,7362,792,9.30,63,0.9999
kv_retrieval,dcu_both,4,8576,7369,816,9.03,64,0.9999
kv_retrieval,dcu_both,5,8576,7266,883,8.23,59,0.9999
kv_retrieval,dcu_both,6,8576,4870,1255,3.88,22,0.9995
kv_retrieval,dcu_both,7,8576,8165,356,22.94,164,0.9995
kv_retrieval,dcu_both,8,8576,5082,1722,2.95,17,0.9999
kv_retrieval,dcu_both,9,8576,5180,1516,3.42,22,0.9997
kv_retrieval,dcu_both,10,8576,8197,274,29.92,72,0.9999
kv_retrieval,dcu_both,11,8576,8200,301,27.24,223,0.9999
kv_retrieval,dcu_both,12,8576,4867,1479,3.29,18,0.9999
kv_retrieval,dcu_both,13,8576,3984,1901,2.10,20,0.9999
kv_retrieval,dcu_both,14,8576,5024,1488,3.38,61,0.9999
kv_retrieval,dcu_both,15,8576,5280,1750,3.02,31,0.9995
kv_retrieval,dcu_both,16,8576,3729,1253,2.98,45,0.9998
kv_retrieval,dcu_both,17,8576,4051,1454,2.79,22,0.9995
kv_retrieval,dcu_both,18,8576,8194,247,33.17,332,0.9999
kv_retrieval,dcu_both,19,8576,8193,275,29.79,203,0.9999
kv_retrieval,dcu_both,20,8576,4534,1262,3.59,36,0.9997
kv_retrieval,dcu_both,21,8576,5390,1180,4.57,50,0.9999
kv_retrieval,dcu_both,22,8576,4340,1557,2.79,23,0.9999
kv_retrieval,dcu_both,23,8576,4984,1512,3.30,24,0.9998
kv_retrieval,dcu_both,24,8576,5248,1709,3.07,21,0.9998
kv_retrieval,dcu_both,25,8576,5558,1579,3.52,35,0.9999
kv_retrieval,dcu_both,26,8576,5842,1683,3.47,40,0.9998
kv_retrieval,dcu_both,27,8576,8192,167,49.05,7827,0.9998
kv_retrieval,dcu_both,0,50048,8209,7057,1.16,10,0.9999
kv_retrieval,dcu_both,1,50048,8104,6608,1.23,8,0.9998
kv_retrieval,dcu_both,2,50048,4586,3867,1.19,5,0.9999
kv_retrieval,dcu_both,3,50048,7485,5670,1.32,10,0.9994
kv_retrieval,dcu_both,4,50048,7275,4658,1.56,11,0.9996
kv_retrieval,dcu_both,5,50048,6972,4939,1.41,9,0.9996
kv_retrieval,dcu_both,6,50048,6022,4856,1.24,7,0.9999
kv_retrieval,dcu_both,7,50048,8182,4757,1.72,10,0.9995
kv_retrieval,dcu_both,8,50048,5655,4748,1.19,5,0.9999
kv_retrieval,dcu_both,9,50048,6968,4849,1.44,9,0.9997
kv_retrieval,dcu_both,10,50048,8206,5892,1.39,6,0.9998
kv_retrieval,dcu_both,11,50048,8179,5542,1.48,6,0.9998
kv_retrieval,dcu_both,12,50048,5425,3791,1.43,11,0.9994
kv_retrieval,dcu_both,13,50048,5294,4262,1.24,6,0.9994
kv_retrieval,dcu_both,14,50048,5970,4433,1.35,16,0.9996
kv_retrieval,dcu_both,15,50048,6713,5409,1.24,11,1.0000
kv_retrieval,dcu_both,16,50048,5178,3224,1.61,33,0.9994
kv_retrieval,dcu_both,17,50048,5426,3828,1.42,11,0.9999
kv_retrieval,dcu_both,18,50048,8207,4382,1.87,19,1.0000
kv_retrieval,dcu_both,19,50048,8209,4374,1.88,21,0.9999
kv_retrieval,dcu_both,20,50048,6070,3358,1.81,19,0.9997
kv_retrieval,dcu_both,21,50048,6119,3444,1.78,14,1.0000
kv_retrieval,dcu_both,22,50048,6244,4388,1.42,8,0.9994
kv_retrieval,dcu_both,23,50048,6496,4524,1.44,8,0.9997
kv_retrieval,dcu_both,24,50048,5817,3976,1.46,10,0.9996
kv_retrieval,dcu_both,25,50048,6579,5086,1.29,8,0.9999
kv_retrieval,dcu_both,26,50048,6799,5658,1.20,6,0.9999
kv_retrieval,dcu_both,27,50048,8208,71,115.61,4430,0.9988
kv_retrieval,dcu_both,0,100224,8209,7575,1.08,4,1.0000
kv_retrieval,dcu_both,1,100224,7660,6509,1.18,6,0.9997
kv_retrieval,dcu_both,2,100224,4874,4532,1.08,4,0.9997
kv_retrieval,dcu_both,3,100224,7194,6230,1.15,5,0.9998
kv_retrieval,dcu_both,4,100224,7309,5392,1.36,8,0.9999
kv_retrieval,dcu_both,5,100224,6849,5600,1.22,6,0.9999
kv_retrieval,dcu_both,6,100224,6142,5260,1.17,8,0.9998
kv_retrieval,dcu_both,7,100224,8183,5567,1.47,9,0.9994
kv_retrieval,dcu_both,8,100224,5540,5120,1.08,4,0.9999
kv_retrieval,dcu_both,9,100224,7458,6108,1.22,6,0.9997
kv_retrieval,dcu_both,10,100224,8194,6589,1.24,5,0.9998
kv_retrieval,dcu_both,11,100224,8195,6125,1.34,3,0.9998
kv_retrieval,dcu_both,12,100224,5634,4243,1.33,6,0.9998
kv_retrieval,dcu_both,13,100224,6037,5220,1.16,6,0.9990
kv_retrieval,dcu_both,14,100224,6151,4856,1.27,8,0.9998
kv_retrieval,dcu_both,15,100224,7000,6170,1.13,10,0.9999
kv_retrieval,dcu_both,16,100224,5300,3757,1.41,10,1.0000
