dataset,method,layer_id,num_tokens,total_retrieved,num_spans,mean_span_len,max_span_len,spread_ratio
kv_retrieval,dcu_max_only,0,8576,5035,786,6.41,101,0.9999
kv_retrieval,dcu_max_only,1,8576,4839,1604,3.02,17,0.9999
kv_retrieval,dcu_max_only,2,8576,4170,1992,2.09,10,0.9998
kv_retrieval,dcu_max_only,3,8576,6978,988,7.06,53,0.9999
kv_retrieval,dcu_max_only,4,8576,5432,1381,3.93,31,0.9998
kv_retrieval,dcu_max_only,5,8576,6445,1245,5.18,37,0.9999
kv_retrieval,dcu_max_only,6,8576,4300,1816,2.37,15,0.9997
kv_retrieval,dcu_max_only,7,8576,7335,996,7.36,41,0.9994
kv_retrieval,dcu_max_only,8,8576,4477,1823,2.46,16,0.9992
kv_retrieval,dcu_max_only,9,8576,5005,1463,3.42,16,0.9997
kv_retrieval,dcu_max_only,10,8576,8198,271,30.25,72,0.9999
kv_retrieval,dcu_max_only,11,8576,8200,306,26.80,223,0.9999
kv_retrieval,dcu_max_only,12,8576,5330,1342,3.97,23,0.9999
kv_retrieval,dcu_max_only,13,8576,3625,1801,2.01,20,0.9999
kv_retrieval,dcu_max_only,14,8576,4577,1676,2.73,59,0.9998
kv_retrieval,dcu_max_only,15,8576,4374,1651,2.65,19,0.9995
kv_retrieval,dcu_max_only,16,8576,3724,1242,3.00,45,0.9998
kv_retrieval,dcu_max_only,17,8576,3958,1430,2.77,21,0.9995
kv_retrieval,dcu_max_only,18,8576,7525,573,13.13,141,0.9999
kv_retrieval,dcu_max_only,19,8576,6677,948,7.04,146,0.9999
kv_retrieval,dcu_max_only,20,8576,4390,1335,3.29,35,0.9997
kv_retrieval,dcu_max_only,21,8576,4372,1401,3.12,32,0.9997
kv_retrieval,dcu_max_only,22,8576,4279,1575,2.72,19,0.9999
kv_retrieval,dcu_max_only,23,8576,4962,1491,3.33,20,0.9998
kv_retrieval,dcu_max_only,24,8576,4303,1655,2.60,20,0.9995
kv_retrieval,dcu_max_only,25,8576,5563,1531,3.63,35,0.9999
kv_retrieval,dcu_max_only,26,8576,4404,1919,2.29,15,0.9998
kv_retrieval,dcu_max_only,27,8576,8192,166,49.35,7840,0.9998
kv_retrieval,dcu_max_only,0,50048,7077,2196,3.22,51,0.9994
kv_retrieval,dcu_max_only,1,50048,5994,3915,1.53,5,0.9993
kv_retrieval,dcu_max_only,2,50048,4913,3798,1.29,5,0.9999
kv_retrieval,dcu_max_only,3,50048,7116,5472,1.30,8,0.9994
kv_retrieval,dcu_max_only,4,50048,6033,4169,1.45,8,0.9996
kv_retrieval,dcu_max_only,5,50048,6245,4593,1.36,6,0.9996
kv_retrieval,dcu_max_only,6,50048,6108,5083,1.20,7,0.9999
kv_retrieval,dcu_max_only,7,50048,7536,4573,1.65,10,0.9995
kv_retrieval,dcu_max_only,8,50048,5287,4542,1.16,6,0.9999
kv_retrieval,dcu_max_only,9,50048,6645,4903,1.36,9,0.9995
kv_retrieval,dcu_max_only,10,50048,8196,5878,1.39,6,0.9997
kv_retrieval,dcu_max_only,11,50048,8185,4146,1.97,8,0.9997
kv_retrieval,dcu_max_only,12,50048,5905,4190,1.41,9,0.9997
kv_retrieval,dcu_max_only,13,50048,4789,3861,1.24,6,0.9994
kv_retrieval,dcu_max_only,14,50048,5782,4429,1.31,7,0.9998
kv_retrieval,dcu_max_only,15,50048,5775,4572,1.26,10,0.9995
kv_retrieval,dcu_max_only,16,50048,5212,3331,1.56,33,0.9980
kv_retrieval,dcu_max_only,17,50048,5394,3760,1.43,12,0.9999
kv_retrieval,dcu_max_only,18,50048,7609,4480,1.70,11,1.0000
kv_retrieval,dcu_max_only,19,50048,6122,3932,1.56,38,1.0000
