dataset,method,layer_id,num_tokens,total_retrieved,num_spans,mean_span_len,max_span_len,spread_ratio
kv_retrieval,token_select_baseline,0,8576,8192,165,49.65,225,0.9999
kv_retrieval,token_select_baseline,1,8576,8192,181,45.26,326,0.9999
kv_retrieval,token_select_baseline,2,8576,8192,179,45.77,177,0.9997
kv_retrieval,token_select_baseline,3,8576,8192,171,47.91,304,0.9999
kv_retrieval,token_select_baseline,4,8576,8192,153,53.54,573,0.9997
kv_retrieval,token_select_baseline,5,8576,8192,161,50.88,191,0.9998
kv_retrieval,token_select_baseline,6,8576,8192,171,47.91,238,0.9999
kv_retrieval,token_select_baseline,7,8576,8192,162,50.57,316,0.9999
kv_retrieval,token_select_baseline,8,8576,8192,146,56.11,370,0.9999
kv_retrieval,token_select_baseline,9,8576,8192,154,53.19,316,0.9999
kv_retrieval,token_select_baseline,10,8576,8192,133,61.59,508,0.9999
kv_retrieval,token_select_baseline,11,8576,8192,147,55.73,200,0.9999
kv_retrieval,token_select_baseline,12,8576,8192,168,48.76,283,0.9999
kv_retrieval,token_select_baseline,13,8576,8192,161,50.88,256,0.9999
kv_retrieval,token_select_baseline,14,8576,8192,167,49.05,267,0.9999
kv_retrieval,token_select_baseline,15,8576,8192,210,39.01,256,0.9995
kv_retrieval,token_select_baseline,16,8576,8192,111,73.80,1087,0.9991
kv_retrieval,token_select_baseline,17,8576,8192,170,48.19,272,0.9999
kv_retrieval,token_select_baseline,18,8576,8192,150,54.61,324,0.9999
kv_retrieval,token_select_baseline,19,8576,8192,144,56.89,306,0.9997
kv_retrieval,token_select_baseline,20,8576,8192,147,55.73,435,0.9999
kv_retrieval,token_select_baseline,21,8576,8192,157,52.18,547,0.9999
kv_retrieval,token_select_baseline,22,8576,8192,131,62.53,534,0.9999
kv_retrieval,token_select_baseline,23,8576,8192,176,46.55,268,0.9999
kv_retrieval,token_select_baseline,24,8576,8192,176,46.55,287,0.9999
kv_retrieval,token_select_baseline,25,8576,8192,181,45.26,184,0.9999
kv_retrieval,token_select_baseline,26,8576,8192,150,54.61,331,0.9997
kv_retrieval,token_select_baseline,27,8576,8192,135,60.68,485,0.9984
kv_retrieval,token_select_baseline,0,50048,8192,1521,5.39,18,0.9992
kv_retrieval,token_select_baseline,1,50048,8192,1476,5.55,15,0.9996
kv_retrieval,token_select_baseline,2,50048,8192,1447,5.66,18,1.0000
kv_retrieval,token_select_baseline,3,50048,8192,1440,5.69,22,0.9994
kv_retrieval,token_select_baseline,4,50048,8192,1440,5.69,22,0.9994
kv_retrieval,token_select_baseline,5,50048,8192,1414,5.79,18,0.9994
kv_retrieval,token_select_baseline,6,50048,8192,1401,5.85,25,0.9997
kv_retrieval,token_select_baseline,7,50048,8192,1451,5.65,16,0.9984
kv_retrieval,token_select_baseline,8,50048,8192,1488,5.51,15,0.9987
kv_retrieval,token_select_baseline,9,50048,8192,1507,5.44,20,0.9992
kv_retrieval,token_select_baseline,10,50048,8192,1491,5.49,17,0.9990
kv_retrieval,token_select_baseline,11,50048,8192,1218,6.73,18,0.9995
kv_retrieval,token_select_baseline,12,50048,8192,1415,5.79,15,0.9994
kv_retrieval,token_select_baseline,13,50048,8192,1475,5.55,17,0.9990
kv_retrieval,token_select_baseline,14,50048,8192,1360,6.02,28,0.9994
kv_retrieval,token_select_baseline,15,50048,8192,1467,5.58,30,1.0000
kv_retrieval,token_select_baseline,16,50048,8192,1290,6.35,65,0.9969
kv_retrieval,token_select_baseline,17,50048,8192,1522,5.38,18,0.9995
kv_retrieval,token_select_baseline,18,50048,8192,1443,5.68,29,0.9994
kv_retrieval,token_select_baseline,19,50048,8192,1353,6.05,21,0.9998
kv_retrieval,token_select_baseline,20,50048,8192,1312,6.24,28,0.9977
kv_retrieval,token_select_baseline,21,50048,8192,1419,5.77,27,0.9981
kv_retrieval,token_select_baseline,22,50048,8192,1163,7.04,32,0.9990
kv_retrieval,token_select_baseline,23,50048,8192,1580,5.18,12,0.9994
kv_retrieval,token_select_baseline,24,50048,8192,1563,5.24,15,0.9997
kv_retrieval,token_select_baseline,25,50048,8192,1474,5.56,30,0.9999
kv_retrieval,token_select_baseline,26,50048,8192,1375,5.96,21,0.9995
kv_retrieval,token_select_baseline,27,50048,8192,1439,5.69,18,0.9998
kv_retrieval,token_select_baseline,0,100224,8192,1559,5.25,13,0.9980
kv_retrieval,token_select_baseline,1,100224,8192,1581,5.18,10,0.9998
kv_retrieval,token_select_baseline,2,100224,8192,1547,5.30,15,0.9998
kv_retrieval,token_select_baseline,3,100224,8192,1552,5.28,22,0.9999
kv_retrieval,token_select_baseline,4,100224,8192,1535,5.34,21,0.9980
kv_retrieval,token_select_baseline,5,100224,8192,1504,5.45,15,0.9998
kv_retrieval,token_select_baseline,6,100224,8192,1519,5.39,18,0.9998
kv_retrieval,token_select_baseline,7,100224,8192,1554,5.27,11,0.9988
kv_retrieval,token_select_baseline,8,100224,8192,1495,5.48,15,0.9969
kv_retrieval,token_select_baseline,9,100224,8192,1560,5.25,15,0.9991
kv_retrieval,token_select_baseline,10,100224,8192,1558,5.26,14,0.9999
kv_retrieval,token_select_baseline,11,100224,8192,1403,5.84,15,0.9998
kv_retrieval,token_select_baseline,12,100224,8192,1506,5.44,14,0.9998
kv_retrieval,token_select_baseline,13,100224,8192,1559,5.25,16,0.9991
kv_retrieval,token_select_baseline,14,100224,8192,1501,5.46,22,0.9993
kv_retrieval,token_select_baseline,15,100224,8192,1543,5.31,16,0.9995
kv_retrieval,token_select_baseline,16,100224,8192,1380,5.94,58,0.9999
kv_retrieval,token_select_baseline,17,100224,8192,1537,5.33,17,0.9985
kv_retrieval,token_select_baseline,18,100224,8192,1542,5.31,21,0.9999
kv_retrieval,token_select_baseline,19,100224,8192,1496,5.48,15,1.0000
kv_retrieval,token_select_baseline,20,100224,8192,1366,6.00,25,0.9987
kv_retrieval,token_select_baseline,21,100224,8192,1455,5.63,25,0.9991
kv_retrieval,token_select_baseline,22,100224,8192,1349,6.07,24,0.9992
kv_retrieval,token_select_baseline,23,100224,8192,1613,5.08,10,0.9999
kv_retrieval,token_select_baseline,24,100224,8192,1607,5.10,15,0.9999
kv_retrieval,token_select_baseline,25,100224,8192,1551,5.28,18,0.9989
kv_retrieval,token_select_baseline,26,100224,8192,1504,5.45,18,0.9999
kv_retrieval,token_select_baseline,27,100224,8192,1540,5.32,19,0.9998
kv_retrieval,token_select_baseline,0,150400,8192,1578,5.19,13,0.9992
kv_retrieval,token_select_baseline,1,150400,8192,1603,5.11,11,0.9993
kv_retrieval,token_select_baseline,2,150400,8192,1575,5.20,14,0.9997
kv_retrieval,token_select_baseline,3,150400,8192,1573,5.21,17,0.9990
kv_retrieval,token_select_baseline,4,150400,8192,1567,5.23,13,0.9998
kv_retrieval,token_select_baseline,5,150400,8192,1558,5.26,12,0.9998
kv_retrieval,token_select_baseline,6,150400,8192,1544,5.31,18,0.9999
kv_retrieval,token_select_baseline,7,150400,8192,1572,5.21,13,0.9994
kv_retrieval,token_select_baseline,8,150400,8192,1530,5.35,15,0.9993
kv_retrieval,token_select_baseline,9,150400,8192,1590,5.15,15,0.9994
kv_retrieval,token_select_baseline,10,150400,8192,1591,5.15,14,0.9992
kv_retrieval,token_select_baseline,11,150400,8192,1472,5.57,19,0.9994
kv_retrieval,token_select_baseline,12,150400,8192,1556,5.26,14,0.9996
kv_retrieval,token_select_baseline,13,150400,8192,1571,5.21,16,0.9988
kv_retrieval,token_select_baseline,14,150400,8192,1551,5.28,27,0.9998
kv_retrieval,token_select_baseline,15,150400,8192,1551,5.28,14,0.9993
kv_retrieval,token_select_baseline,16,150400,8192,1404,5.83,71,0.9996
kv_retrieval,token_select_baseline,17,150400,8192,1540,5.32,18,0.9976
kv_retrieval,token_select_baseline,18,150400,8192,1550,5.29,21,0.9998
kv_retrieval,token_select_baseline,19,150400,8192,1526,5.37,14,0.9998
kv_retrieval,token_select_baseline,20,150400,8192,1418,5.78,22,0.9995
kv_retrieval,token_select_baseline,21,150400,8192,1459,5.61,31,0.9992
kv_retrieval,token_select_baseline,22,150400,8192,1431,5.72,24,0.9997
kv_retrieval,token_select_baseline,23,150400,8192,1619,5.06,10,0.9989
kv_retrieval,token_select_baseline,24,150400,8192,1456,5.63,36,0.9987
kv_retrieval,token_select_baseline,25,150400,8192,1570,5.22,18,0.9981
kv_retrieval,token_select_baseline,26,150400,8192,1543,5.31,17,0.9998
kv_retrieval,token_select_baseline,27,150400,8192,1573,5.21,12,0.9996
kv_retrieval,token_select_baseline,0,8576,8192,155,52.85,397,0.9997
kv_retrieval,token_select_baseline,1,8576,8192,184,44.52,176,0.9999
kv_retrieval,token_select_baseline,2,8576,8192,167,49.05,329,0.9997
kv_retrieval,token_select_baseline,3,8576,8192,180,45.51,208,0.9999
kv_retrieval,token_select_baseline,4,8576,8192,174,47.08,243,0.9999
kv_retrieval,token_select_baseline,5,8576,8192,173,47.35,204,0.9999
kv_retrieval,token_select_baseline,6,8576,8192,147,55.73,271,0.9998
kv_retrieval,token_select_baseline,7,8576,8192,142,57.69,483,0.9999
kv_retrieval,token_select_baseline,8,8576,8192,151,54.25,250,0.9999
kv_retrieval,token_select_baseline,9,8576,8192,169,48.47,509,0.9999
kv_retrieval,token_select_baseline,10,8576,8192,144,56.89,312,0.9999
kv_retrieval,token_select_baseline,11,8576,8192,151,54.25,263,0.9999
kv_retrieval,token_select_baseline,12,8576,8192,182,45.01,315,0.9999
kv_retrieval,token_select_baseline,13,8576,8192,184,44.52,199,0.9999
kv_retrieval,token_select_baseline,14,8576,8192,164,49.95,217,0.9999
kv_retrieval,token_select_baseline,15,8576,8192,195,42.01,252,0.9999
kv_retrieval,token_select_baseline,16,8576,8192,97,84.45,931,0.9999
kv_retrieval,token_select_baseline,17,8576,8192,173,47.35,299,0.9999
kv_retrieval,token_select_baseline,18,8576,8192,149,54.98,300,0.9999
kv_retrieval,token_select_baseline,19,8576,8192,164,49.95,234,0.9999
kv_retrieval,token_select_baseline,20,8576,8192,162,50.57,228,0.9999
kv_retrieval,token_select_baseline,21,8576,8192,137,59.80,393,0.9999
kv_retrieval,token_select_baseline,22,8576,8192,121,67.70,527,0.9999
kv_retrieval,token_select_baseline,23,8576,8192,171,47.91,208,0.9999
kv_retrieval,token_select_baseline,24,8576,8192,169,48.47,255,0.9999
kv_retrieval,token_select_baseline,25,8576,8192,162,50.57,336,0.9993
kv_retrieval,token_select_baseline,26,8576,8192,148,55.35,385,0.9999
kv_retrieval,token_select_baseline,27,8576,8192,160,51.20,362,0.9999
kv_retrieval,token_select_baseline,0,50048,8192,1502,5.45,14,0.9995
kv_retrieval,token_select_baseline,1,50048,8192,1480,5.54,18,0.9996
kv_retrieval,token_select_baseline,2,50048,8192,1449,5.65,18,0.9990
kv_retrieval,token_select_baseline,3,50048,8192,1469,5.58,15,0.9998
kv_retrieval,token_select_baseline,4,50048,8192,1417,5.78,25,0.9998
kv_retrieval,token_select_baseline,5,50048,8192,1431,5.72,16,0.9998
kv_retrieval,token_select_baseline,6,50048,8192,1380,5.94,19,0.9992
kv_retrieval,token_select_baseline,7,50048,8192,1472,5.57,27,0.9999
kv_retrieval,token_select_baseline,8,50048,8192,1467,5.58,15,0.9996
kv_retrieval,token_select_baseline,9,50048,8192,1457,5.62,21,0.9996
kv_retrieval,token_select_baseline,10,50048,8192,1507,5.44,19,0.9990
kv_retrieval,token_select_baseline,11,50048,8192,1197,6.84,22,0.9990
kv_retrieval,token_select_baseline,12,50048,8192,1409,5.81,19,0.9998
kv_retrieval,token_select_baseline,13,50048,8192,1440,5.69,16,0.9993
kv_retrieval,token_select_baseline,14,50048,8192,1408,5.82,42,0.9997
kv_retrieval,token_select_baseline,15,50048,8192,1429,5.73,27,0.9999
kv_retrieval,token_select_baseline,16,50048,8192,1310,6.25,69,0.9999
kv_retrieval,token_select_baseline,17,50048,8192,1435,5.71,21,0.9999
kv_retrieval,token_select_baseline,18,50048,8192,1398,5.86,32,0.9983
kv_retrieval,token_select_baseline,19,50048,8192,1348,6.08,22,0.9996
kv_retrieval,token_select_baseline,20,50048,8192,1324,6.19,31,0.9995
kv_retrieval,token_select_baseline,21,50048,8192,1256,6.52,56,0.9999
kv_retrieval,token_select_baseline,22,50048,8192,1197,6.84,25,0.9998
kv_retrieval,token_select_baseline,23,50048,8192,1584,5.17,13,0.9998
kv_retrieval,token_select_baseline,24,50048,8192,1274,6.43,33,0.9990
kv_retrieval,token_select_baseline,25,50048,8192,1436,5.70,44,0.9989
kv_retrieval,token_select_baseline,26,50048,8192,1401,5.85,19,0.9995
kv_retrieval,token_select_baseline,27,50048,8192,1478,5.54,27,0.9996
kv_retrieval,token_select_baseline,0,100224,8192,1555,5.27,15,0.9985
kv_retrieval,token_select_baseline,1,100224,8192,1576,5.20,11,0.9995
kv_retrieval,token_select_baseline,2,100224,8192,1527,5.36,14,0.9995
kv_retrieval,token_select_baseline,3,100224,8192,1548,5.29,14,1.0000
kv_retrieval,token_select_baseline,4,100224,8192,1524,5.38,25,0.9995
kv_retrieval,token_select_baseline,5,100224,8192,1551,5.28,13,0.9995
kv_retrieval,token_select_baseline,6,100224,8192,1515,5.41,18,0.9996
kv_retrieval,token_select_baseline,7,100224,8192,1548,5.29,27,0.9995
kv_retrieval,token_select_baseline,8,100224,8192,1517,5.40,15,1.0000
kv_retrieval,token_select_baseline,9,100224,8192,1574,5.20,18,0.9998
kv_retrieval,token_select_baseline,10,100224,8192,1567,5.23,15,1.0000
kv_retrieval,token_select_baseline,11,100224,8192,1364,6.01,19,0.9995
kv_retrieval,token_select_baseline,12,100224,8192,1531,5.35,19,0.9999
kv_retrieval,token_select_baseline,13,100224,8192,1552,5.28,16,1.0000
kv_retrieval,token_select_baseline,14,100224,8192,1510,5.43,40,0.9990
