dataset,method,layer_id,num_tokens,total_retrieved,num_spans,mean_span_len,max_span_len,spread_ratio
kv_retrieval,union_of_sets,0,8576,3373,1556,2.17,418,0.9992
kv_retrieval,union_of_sets,1,8576,4194,2011,2.09,11,0.9994
kv_retrieval,union_of_sets,2,8576,4098,2048,2.00,11,0.9993
kv_retrieval,union_of_sets,3,8576,3899,1918,2.03,20,0.9994
kv_retrieval,union_of_sets,4,8576,4032,1674,2.41,25,0.9993
kv_retrieval,union_of_sets,5,8576,3869,1919,2.02,15,0.9997
kv_retrieval,union_of_sets,6,8576,3479,1782,1.95,14,0.9999
kv_retrieval,union_of_sets,7,8576,4009,1829,2.19,17,0.9999
kv_retrieval,union_of_sets,8,8576,3627,1810,2.00,15,0.9999
kv_retrieval,union_of_sets,9,8576,3784,1773,2.13,14,0.9998
kv_retrieval,union_of_sets,10,8576,3170,1659,1.91,15,0.9999
kv_retrieval,union_of_sets,11,8576,2494,1278,1.95,13,0.9992
kv_retrieval,union_of_sets,12,8576,3268,1555,2.10,16,0.9999
kv_retrieval,union_of_sets,13,8576,3525,1799,1.96,20,0.9999
kv_retrieval,union_of_sets,14,8576,4190,1805,2.32,22,0.9999
kv_retrieval,union_of_sets,15,8576,3710,1631,2.27,28,0.9993
kv_retrieval,union_of_sets,16,8576,3851,1228,3.14,49,0.9999
kv_retrieval,union_of_sets,17,8576,3653,1505,2.43,25,0.9993
kv_retrieval,union_of_sets,18,8576,3566,1377,2.59,41,0.9981
kv_retrieval,union_of_sets,19,8576,4308,1422,3.03,32,0.9998
kv_retrieval,union_of_sets,20,8576,3610,1431,2.52,32,0.9997
kv_retrieval,union_of_sets,21,8576,3919,1433,2.73,23,0.9994
kv_retrieval,union_of_sets,22,8576,3993,1557,2.56,24,0.9999
kv_retrieval,union_of_sets,23,8576,3765,1408,2.67,15,0.9999
kv_retrieval,union_of_sets,24,8576,3369,1504,2.24,23,0.9999
kv_retrieval,union_of_sets,25,8576,4212,1893,2.23,30,0.9998
kv_retrieval,union_of_sets,26,8576,4141,1970,2.10,14,0.9998
kv_retrieval,union_of_sets,27,8576,4192,1744,2.40,297,0.9999
