dataset,method,layer_id,num_tokens,total_retrieved,num_spans,mean_span_len,max_span_len,spread_ratio
kv_retrieval,weighted_soft_vote,0,8576,8192,64,128.00,7646,0.9999
kv_retrieval,weighted_soft_vote,1,8576,8192,171,47.91,204,0.9999
kv_retrieval,weighted_soft_vote,2,8576,8192,164,49.95,330,0.9999
kv_retrieval,weighted_soft_vote,3,8576,8192,179,45.77,328,0.9999
kv_retrieval,weighted_soft_vote,4,8576,8192,159,51.52,372,0.9999
kv_retrieval,weighted_soft_vote,5,8576,8192,30,273.07,7999,0.9999
kv_retrieval,weighted_soft_vote,6,8576,8192,137,59.80,236,0.9999
kv_retrieval,weighted_soft_vote,7,8576,8192,79,103.70,871,0.9921
kv_retrieval,weighted_soft_vote,8,8576,8192,117,70.02,272,0.9999
kv_retrieval,weighted_soft_vote,9,8576,8192,157,52.18,306,0.9995
kv_retrieval,weighted_soft_vote,10,8576,8192,96,85.33,475,0.9993
kv_retrieval,weighted_soft_vote,11,8576,8192,134,61.13,254,0.9993
kv_retrieval,weighted_soft_vote,12,8576,8192,218,37.58,200,0.9999
kv_retrieval,weighted_soft_vote,13,8576,8192,169,48.47,300,0.9999
kv_retrieval,weighted_soft_vote,14,8576,8192,148,55.35,405,0.9999
kv_retrieval,weighted_soft_vote,15,8576,8192,162,50.57,545,0.9999
kv_retrieval,weighted_soft_vote,16,8576,8192,143,57.29,832,0.9999
kv_retrieval,weighted_soft_vote,17,8576,8192,115,71.23,329,0.9998
kv_retrieval,weighted_soft_vote,18,8576,8192,9,910.22,8150,0.9965
kv_retrieval,weighted_soft_vote,19,8576,8192,137,59.80,485,0.9999
kv_retrieval,weighted_soft_vote,20,8576,8192,70,117.03,3256,0.9993
kv_retrieval,weighted_soft_vote,21,8576,8192,115,71.23,468,0.9999
kv_retrieval,weighted_soft_vote,22,8576,8192,32,256.00,7820,0.9985
kv_retrieval,weighted_soft_vote,23,8576,8192,67,122.27,6168,0.9999
kv_retrieval,weighted_soft_vote,24,8576,8192,131,62.53,611,0.9991
kv_retrieval,weighted_soft_vote,25,8576,8192,81,101.14,629,0.9979
kv_retrieval,weighted_soft_vote,26,8576,8192,100,81.92,5528,0.9999
kv_retrieval,weighted_soft_vote,27,8576,8192,141,58.10,268,0.9997
kv_retrieval,weighted_soft_vote,0,50048,8192,1366,6.00,6,0.9232
kv_retrieval,weighted_soft_vote,1,50048,8192,1409,5.81,6,0.9994
kv_retrieval,weighted_soft_vote,2,50048,8192,1443,5.68,13,0.9994
kv_retrieval,weighted_soft_vote,3,50048,8192,1486,5.51,17,0.9982
kv_retrieval,weighted_soft_vote,4,50048,8192,1323,6.19,22,0.9968
kv_retrieval,weighted_soft_vote,5,50048,8192,1448,5.66,18,0.9997
kv_retrieval,weighted_soft_vote,6,50048,8192,1434,5.71,20,0.9987
kv_retrieval,weighted_soft_vote,7,50048,8192,1282,6.39,17,0.9871
kv_retrieval,weighted_soft_vote,8,50048,8192,1310,6.25,16,0.9995
kv_retrieval,weighted_soft_vote,9,50048,8192,1412,5.80,15,0.9904
kv_retrieval,weighted_soft_vote,10,50048,8192,1321,6.20,20,0.9940
kv_retrieval,weighted_soft_vote,11,50048,8192,1074,7.63,23,0.9983
kv_retrieval,weighted_soft_vote,12,50048,8192,1481,5.53,10,0.9994
kv_retrieval,weighted_soft_vote,13,50048,8192,1636,5.01,7,0.9994
kv_retrieval,weighted_soft_vote,14,50048,8192,1329,6.16,32,0.9994
kv_retrieval,weighted_soft_vote,15,50048,8192,1394,5.88,94,0.9988
kv_retrieval,weighted_soft_vote,16,50048,8192,1329,6.16,41,0.9974
kv_retrieval,weighted_soft_vote,17,50048,8192,1537,5.33,21,0.9997
kv_retrieval,weighted_soft_vote,18,50048,8192,190,43.12,7193,0.9929
kv_retrieval,weighted_soft_vote,19,50048,8192,1503,5.45,47,0.9991
kv_retrieval,weighted_soft_vote,20,50048,8192,879,9.32,35,0.9885
kv_retrieval,weighted_soft_vote,21,50048,8192,1062,7.71,33,0.9968
kv_retrieval,weighted_soft_vote,22,50048,8192,1345,6.09,26,0.9989
kv_retrieval,weighted_soft_vote,23,50048,8192,942,8.70,30,0.9969
kv_retrieval,weighted_soft_vote,24,50048,8192,1117,7.33,25,0.9925
kv_retrieval,weighted_soft_vote,25,50048,8192,1232,6.65,33,0.9994
kv_retrieval,weighted_soft_vote,26,50048,8192,1261,6.50,19,0.9990
kv_retrieval,weighted_soft_vote,27,50048,8192,1372,5.97,26,0.9970
kv_retrieval,weighted_soft_vote,0,100224,8192,19,431.16,1018,0.0820
kv_retrieval,weighted_soft_vote,1,100224,8192,1626,5.04,6,0.9998
kv_retrieval,weighted_soft_vote,2,100224,8192,1633,5.02,10,0.9998
kv_retrieval,weighted_soft_vote,3,100224,8192,1565,5.23,11,0.9969
kv_retrieval,weighted_soft_vote,4,100224,8192,1470,5.57,16,0.9975
kv_retrieval,weighted_soft_vote,5,100224,8192,1538,5.33,14,0.9999
kv_retrieval,weighted_soft_vote,6,100224,8192,1518,5.40,16,0.9955
kv_retrieval,weighted_soft_vote,7,100224,8192,1435,5.71,13,0.9929
kv_retrieval,weighted_soft_vote,8,100224,8192,1467,5.58,16,0.9998
kv_retrieval,weighted_soft_vote,9,100224,8192,1541,5.32,15,0.9856
kv_retrieval,weighted_soft_vote,10,100224,8192,1449,5.65,20,0.9902
kv_retrieval,weighted_soft_vote,11,100224,8192,1260,6.50,18,0.9991
kv_retrieval,weighted_soft_vote,12,100224,8192,1482,5.53,6,0.9991
kv_retrieval,weighted_soft_vote,13,100224,8192,1637,5.00,6,0.9997
kv_retrieval,weighted_soft_vote,14,100224,8192,1500,5.46,21,0.9985
kv_retrieval,weighted_soft_vote,15,100224,8192,1503,5.45,56,0.9994
kv_retrieval,weighted_soft_vote,16,100224,8192,1455,5.63,25,0.9994
kv_retrieval,weighted_soft_vote,17,100224,8192,1547,5.30,20,0.9986
kv_retrieval,weighted_soft_vote,18,100224,8192,671,12.21,4378,0.9999
kv_retrieval,weighted_soft_vote,19,100224,8192,1581,5.18,46,0.9989
kv_retrieval,weighted_soft_vote,20,100224,8192,968,8.46,35,0.9937
kv_retrieval,weighted_soft_vote,21,100224,8192,1220,6.71,31,0.9987
kv_retrieval,weighted_soft_vote,22,100224,8192,1434,5.71,20,0.9984
kv_retrieval,weighted_soft_vote,23,100224,8192,1056,7.76,30,0.9956
kv_retrieval,weighted_soft_vote,24,100224,8192,1144,7.16,25,0.9951
kv_retrieval,weighted_soft_vote,25,100224,8192,1356,6.04,27,0.9994
kv_retrieval,weighted_soft_vote,26,100224,8192,1398,5.86,14,1.0000
kv_retrieval,weighted_soft_vote,27,100224,8192,1503,5.45,26,0.9996
kv_retrieval,weighted_soft_vote,0,150400,8192,13,630.15,1722,0.0546
kv_retrieval,weighted_soft_vote,1,150400,8192,1639,5.00,6,0.9998
kv_retrieval,weighted_soft_vote,2,150400,8192,1639,5.00,5,0.9998
kv_retrieval,weighted_soft_vote,3,150400,8192,1580,5.18,12,0.9969
kv_retrieval,weighted_soft_vote,4,150400,8192,1509,5.43,14,0.9976
kv_retrieval,weighted_soft_vote,5,150400,8192,1569,5.22,13,0.9982
kv_retrieval,weighted_soft_vote,6,150400,8192,1541,5.32,15,0.9770
kv_retrieval,weighted_soft_vote,7,150400,8192,1494,5.48,14,0.9928
kv_retrieval,weighted_soft_vote,8,150400,8192,1502,5.45,13,0.9985
kv_retrieval,weighted_soft_vote,9,150400,8192,1578,5.19,13,0.9904
kv_retrieval,weighted_soft_vote,10,150400,8192,1499,5.46,17,0.9926
kv_retrieval,weighted_soft_vote,11,150400,8192,1357,6.04,17,0.9976
kv_retrieval,weighted_soft_vote,12,150400,8192,1503,5.45,6,0.9976
kv_retrieval,weighted_soft_vote,13,150400,8192,1637,5.00,6,0.9994
kv_retrieval,weighted_soft_vote,14,150400,8192,1534,5.34,34,0.9997
kv_retrieval,weighted_soft_vote,15,150400,8192,1543,5.31,27,0.9999
kv_retrieval,weighted_soft_vote,16,150400,8192,1510,5.43,20,0.9978
kv_retrieval,weighted_soft_vote,17,150400,8192,1585,5.17,18,0.9999
kv_retrieval,weighted_soft_vote,18,150400,8192,446,18.37,5687,0.9977
kv_retrieval,weighted_soft_vote,19,150400,8192,1593,5.14,17,0.9984
kv_retrieval,weighted_soft_vote,20,150400,8192,1018,8.05,35,0.9935
kv_retrieval,weighted_soft_vote,21,150400,8192,1284,6.38,33,0.9985
kv_retrieval,weighted_soft_vote,22,150400,8192,1504,5.45,15,0.9978
kv_retrieval,weighted_soft_vote,23,150400,8192,1113,7.36,32,0.9908
kv_retrieval,weighted_soft_vote,24,150400,8192,1192,6.87,25,0.9960
kv_retrieval,weighted_soft_vote,25,150400,8192,1424,5.75,24,0.9982
kv_retrieval,weighted_soft_vote,26,150400,8192,1451,5.65,14,0.9997
kv_retrieval,weighted_soft_vote,27,150400,8192,1565,5.23,17,0.9988
kv_retrieval,weighted_soft_vote,0,8576,8192,108,75.85,555,0.9972
kv_retrieval,weighted_soft_vote,1,8576,8192,167,49.05,278,0.9997
kv_retrieval,weighted_soft_vote,2,8576,8192,167,49.05,236,0.9999
kv_retrieval,weighted_soft_vote,3,8576,8192,177,46.28,365,0.9997
kv_retrieval,weighted_soft_vote,4,8576,8192,181,45.26,236,0.9974
kv_retrieval,weighted_soft_vote,5,8576,8192,16,512.00,8100,0.9993
kv_retrieval,weighted_soft_vote,6,8576,8192,135,60.68,276,0.9999
kv_retrieval,weighted_soft_vote,7,8576,8192,84,97.52,571,0.9943
kv_retrieval,weighted_soft_vote,8,8576,8192,118,69.42,274,0.9994
kv_retrieval,weighted_soft_vote,9,8576,8192,143,57.29,317,0.9997
kv_retrieval,weighted_soft_vote,10,8576,8192,120,68.27,334,0.9981
kv_retrieval,weighted_soft_vote,11,8576,8192,112,73.14,304,0.9991
kv_retrieval,weighted_soft_vote,12,8576,8192,203,40.35,519,0.9999
kv_retrieval,weighted_soft_vote,13,8576,8192,167,49.05,198,0.9998
kv_retrieval,weighted_soft_vote,14,8576,8192,134,61.13,814,0.9999
kv_retrieval,weighted_soft_vote,15,8576,8192,150,54.61,617,0.9999
kv_retrieval,weighted_soft_vote,16,8576,8192,152,53.89,616,0.9999
kv_retrieval,weighted_soft_vote,17,8576,8192,94,87.15,544,0.9999
kv_retrieval,weighted_soft_vote,18,8576,8192,17,481.88,8106,0.9967
kv_retrieval,weighted_soft_vote,19,8576,8192,153,53.54,456,0.9999
kv_retrieval,weighted_soft_vote,20,8576,8192,69,118.72,2363,0.9993
kv_retrieval,weighted_soft_vote,21,8576,8192,119,68.84,427,0.9999
kv_retrieval,weighted_soft_vote,22,8576,8192,25,327.68,7861,0.9987
kv_retrieval,weighted_soft_vote,23,8576,8192,76,107.79,5280,0.9999
kv_retrieval,weighted_soft_vote,24,8576,8192,126,65.02,556,0.9979
kv_retrieval,weighted_soft_vote,25,8576,8192,83,98.70,481,0.9967
kv_retrieval,weighted_soft_vote,26,8576,8192,158,51.85,1815,0.9999
kv_retrieval,weighted_soft_vote,27,8576,8192,177,46.28,258,0.9993
kv_retrieval,weighted_soft_vote,0,50048,8192,949,8.63,24,0.2794
kv_retrieval,weighted_soft_vote,1,50048,8192,1400,5.85,6,0.9996
kv_retrieval,weighted_soft_vote,2,50048,8192,1431,5.72,11,0.9998
kv_retrieval,weighted_soft_vote,3,50048,8192,1467,5.58,16,0.9983
kv_retrieval,weighted_soft_vote,4,50048,8192,1310,6.25,21,0.9993
kv_retrieval,weighted_soft_vote,5,50048,8192,1456,5.63,17,0.9991
kv_retrieval,weighted_soft_vote,6,50048,8192,1425,5.75,29,0.9997
kv_retrieval,weighted_soft_vote,7,50048,8192,1270,6.45,18,0.9880
kv_retrieval,weighted_soft_vote,8,50048,8192,1309,6.26,16,0.9996
kv_retrieval,weighted_soft_vote,9,50048,8192,1395,5.87,20,0.9900
kv_retrieval,weighted_soft_vote,10,50048,8192,1291,6.35,18,0.9818
kv_retrieval,weighted_soft_vote,11,50048,8192,1048,7.82,21,0.9977
kv_retrieval,weighted_soft_vote,12,50048,8192,1470,5.57,10,0.9989
